Iteration,Loss,Policy Loss,Value Loss,Entropy,Value MSE
1,6.895692348480225,4.595980644226074,0.0017212099628522992,4.595980644226074,0.0017212099628522992
2,7.559537649154663,4.998307228088379,0.06207694485783577,4.998307228088379,0.06207694485783577
3,8.216324170430502,5.475608030954997,0.0029119673805932202,5.475608030954997,0.0029119673805932202
4,8.93161080678304,5.8193943977355955,0.20251925612489383,5.8193943977355955,0.20251925612489383
5,9.007104357083639,5.788806955019633,0.32389394628504914,5.788806955019633,0.32389394628504914
6,8.929233753319943,5.63771356235851,0.47266350280154834,5.63771356235851,0.47266350280154834
7,8.957250062809434,5.711726931638496,0.3896597124809443,5.711726931638496,0.3896597124809443
8,9.416970756818664,5.97369073471933,0.4564347222166241,5.97369073471933,0.4564347222166241
9,9.765608860896183,5.770181076343243,1.1103373004839971,5.770181076343243,1.1103373004839971
10,9.343567772915488,5.831744482642726,0.5959510022872373,5.831744482642726,0.5959510022872373
11,9.630375686733203,6.00629579609838,0.6209319607279766,6.00629579609838,0.6209319607279766
12,9.37635010420674,5.7787074561070915,0.7082888762833495,5.7787074561070915,0.7082888762833495
13,9.570864834916701,5.900650496876568,0.7198890267162148,5.900650496876568,0.7198890267162148
14,9.463981347925523,5.793184504789465,0.7742045516727352,5.793184504789465,0.7742045516727352
15,9.487499178372897,5.791775633738591,0.7998357124053515,5.791775633738591,0.7998357124053515
16,9.333823385372968,5.765044618660296,0.686256424222194,5.765044618660296,0.686256424222194
17,9.622796968696944,5.94002444759693,0.7127602786020516,5.94002444759693,0.7127602786020516
18,9.454275587585075,5.807530841944408,0.742979335090134,5.807530841944408,0.742979335090134
19,9.448270090695086,5.8044066182498275,0.741660131462689,5.8044066182498275,0.741660131462689
20,9.410455626826133,5.767751898816837,0.7588277398258128,5.767751898816837,0.7588277398258128
21,9.38008005680182,5.789559547717754,0.6957407109248332,5.789559547717754,0.6957407109248332
22,9.375169884924794,5.787907048767688,0.6933092999399877,5.787907048767688,0.6933092999399877
23,9.459214541833726,5.839643456006834,0.6997493930825605,5.839643456006834,0.6997493930825605
24,9.679794217858996,5.986392114843641,0.7002060471900872,5.986392114843641,0.7002060471900872
25,9.89735353404078,6.157073917060063,0.661742677462512,6.157073917060063,0.661742677462512
26,9.89108698652605,6.146791970288312,0.6708990135555896,6.146791970288312,0.6708990135555896
27,9.878110145959328,6.138825101176585,0.669872463922801,6.138825101176585,0.669872463922801
28,9.873664464334118,6.134192735070058,0.672375375100415,6.134192735070058,0.672375375100415
29,9.515479527986967,5.809766556317117,0.8008297325927259,5.809766556317117,0.8008297325927259
30,9.505255497677226,5.8087210168301215,0.7921739549074375,5.8087210168301215,0.7921739549074375
31,9.50193926924366,5.80716774827343,0.7911876885567681,5.80716774827343,0.7911876885567681
32,9.504980685664158,5.806554755354239,0.7951485519510468,5.806554755354239,0.7951485519510468
33,9.515096610276856,5.866464711138127,0.7153995540051806,5.866464711138127,0.7153995540051806
34,9.513128173387521,5.859951541054213,0.7232008390694766,5.859951541054213,0.7232008390694766
35,9.521529647804643,5.859542362809533,0.7322160848649906,5.859542362809533,0.7322160848649906
36,9.521484290772355,5.857874741241803,0.734672181966298,5.857874741241803,0.734672181966298
37,9.508889653947618,5.8559230181905955,0.7250051115122106,5.8559230181905955,0.7250051115122106
38,9.507308422715838,5.85398239331104,0.7263348663270955,5.85398239331104,0.7263348663270955
39,9.499519318107545,5.853587838921334,0.7191375695032085,5.853587838921334,0.7191375695032085
40,9.490951353189896,5.851226153422375,0.7141121236645446,5.851226153422375,0.7141121236645446
41,9.499036192598178,5.851008606903607,0.722523280615842,5.851008606903607,0.722523280615842
42,9.503517348985165,5.848936442591718,0.7301127150438834,5.848936442591718,0.7301127150438834
43,9.505122227488824,5.848977591631548,0.7316558436965043,5.848977591631548,0.7316558436965043
44,9.512873901139706,5.846327884481587,0.7433820868577432,5.846327884481587,0.7433820868577432
45,9.508468280169254,5.844484118007173,0.7417420811567798,5.844484118007173,0.7417420811567798
46,9.498338603347344,5.844511096795748,0.7315719698268422,5.844511096795748,0.7315719698268422
47,9.500586625857231,5.843235922674848,0.7357327382788699,5.843235922674848,0.7357327382788699
48,9.49657716312169,5.841798187798536,0.7338798658368977,5.841798187798536,0.7338798658368977
